REPLACE INTO %s (%s,%s,%s,%s,%s,%s,%s)  VALUES(%s,%s,%s,%s,%s,%s,%s) ['internal', 'transferhash', 'address', 'fromtoken', 'fromvalue', 'totoken', 'tovalue', 'blocktime'] ['0xca7ab5fdb02b6f294d3ebfd24bee63b73d07ec5d25651f1510e4230805cc1f6f', '0x70dcf33ca09bd87bb2a301280331406ebd32c8a0', 'FRIN', 150000.0, 'eth', 0.7570179478721887, 1647235074]
REPLACE INTO %s (%s,%s,%s,%s,%s,%s,%s)  VALUES(%s,%s,%s,%s,%s,%s,%s) ['internal', 'transferhash', 'address', 'fromtoken', 'fromvalue', 'totoken', 'tovalue', 'blocktime'] ['0x1748b88363e87666604cfeda4e09030de25cb8584dd31e54fd52779e35750f30', '0x70dcf33ca09bd87bb2a301280331406ebd32c8a0', 'FRIN', 150000.0, 'eth', 0.7755053155205123, 1647234886]
REPLACE INTO %s (%s,%s,%s,%s,%s,%s,%s)  VALUES(%s,%s,%s,%s,%s,%s,%s) ['internal', 'transferhash', 'address', 'fromtoken', 'fromvalue', 'totoken', 'tovalue', 'blocktime'] ['0x780e3a04be0e56334cf3e9db4538c53776acd714891490a37ae3480a88fc2149', '0x70dcf33ca09bd87bb2a301280331406ebd32c8a0', 'FRIN', 150000.0, 'eth', 0.794678639367243, 1647234493]
REPLACE INTO %s (%s,%s,%s,%s,%s,%s,%s)  VALUES(%s,%s,%s,%s,%s,%s,%s) ['internal', 'transferhash', 'address', 'fromtoken', 'fromvalue', 'totoken', 'tovalue', 'blocktime'] ['0x551c4a8150bfdeaa155f27ce18dd39043cc15eece78bb35a427430be4d8d7955', '0x70dcf33ca09bd87bb2a301280331406ebd32c8a0', 'FRIN', 200000.0, 'eth', 1.0906537155884986, 1647234246]
REPLACE INTO %s (%s,%s,%s,%s,%s,%s,%s)  VALUES(%s,%s,%s,%s,%s,%s,%s) ['internal', 'transferhash', 'address', 'fromtoken', 'fromvalue', 'totoken', 'tovalue', 'blocktime'] ['0x51d57b036f442c865fc2a0d4e50e5c303dde243b7f15e3e4b7b318eba38b1c88', '0x70dcf33ca09bd87bb2a301280331406ebd32c8a0', 'MAPS', 20000.0, 'eth', 5.9416044856991155, 1647232781]
REPLACE INTO %s (%s,%s,%s,%s,%s,%s,%s)  VALUES(%s,%s,%s,%s,%s,%s,%s) ['internal', 'transferhash', 'address', 'fromtoken', 'fromvalue', 'totoken', 'tovalue', 'blocktime'] ['0xd68e4834039d784b11198a210f56fa589dedb1a2fc84840691ac5884a8edd2ca', '0x70dcf33ca09bd87bb2a301280331406ebd32c8a0', 'PLOT', 42500.0, 'eth', 1.552871450759813, 1647231719]
REPLACE INTO %s (%s,%s,%s,%s,%s,%s,%s)  VALUES(%s,%s,%s,%s,%s,%s,%s) ['internal', 'transferhash', 'address', 'fromtoken', 'fromvalue', 'totoken', 'tovalue', 'blocktime'] ['0xdf489a1735c0793e74c4a79f7b0fd202a11442617628d94f0c1c117fe8349ef2', '0x70dcf33ca09bd87bb2a301280331406ebd32c8a0', 'PLOT', 50000.0, 'eth', 1.5718651267842516, 1647231571]
REPLACE INTO %s (%s,%s,%s,%s,%s,%s,%s)  VALUES(%s,%s,%s,%s,%s,%s,%s) ['internal', 'transferhash', 'address', 'fromtoken', 'fromvalue', 'totoken', 'tovalue', 'blocktime'] ['0xbe6fecaf875a2b8db7a4639fa75693cd2990bdeea09dcb552ad3075a4e670667', '0x70dcf33ca09bd87bb2a301280331406ebd32c8a0', 'MAPS', 20000.0, 'eth', 6.011096219551928, 1647231414]
REPLACE INTO %s (%s,%s,%s,%s,%s,%s,%s)  VALUES(%s,%s,%s,%s,%s,%s,%s) ['internal', 'transferhash', 'address', 'fromtoken', 'fromvalue', 'totoken', 'tovalue', 'blocktime'] ['0xfe606cabd7d62544079f1ac55d55c120bd4ab35fab3d2a8d92d9b5563571ab16', '0x70dcf33ca09bd87bb2a301280331406ebd32c8a0', 'PLOT', 50000.0, 'eth', 1.5869463452248898, 1647231213]
REPLACE INTO %s (%s,%s,%s,%s,%s,%s,%s)  VALUES(%s,%s,%s,%s,%s,%s,%s) ['internal', 'transferhash', 'address', 'fromtoken', 'fromvalue', 'totoken', 'tovalue', 'blocktime'] ['0x3558a3b3daea13e540cc7384bfabd95fa38164f29181d0de409d3c669217a095', '0x70dcf33ca09bd87bb2a301280331406ebd32c8a0', 'PLOT', 50000.0, 'eth', 1.6116822670310442, 1647231134]
